unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude	original order
B_unit	pine	Cp 119 1	31.50525659	-109.0107503	3487312.913	688915.5161	5/11/15 11:58	1700.20459	125
B_unit	pine	Cp 12 2	31.51326248	-109.0000479	3488218.985	689915.8834	5/10/15 15:19	1671.124756	12
B_unit	pine	Cp 120 2	31.50524905	-109.0110959	3487311.481	688882.6978	5/11/15 11:59	1701.886719	126
B_unit	pine	Cp 122 1	31.50522508	-109.0111034	3487308.81	688882.0374	5/11/15 11:59	1700.444824	127
B_unit	pine	Cp 123 1	31.50534905	-109.0114279	3487321.994	688850.9609	5/11/15 12:01	1699.483398	128
B_unit	pine	Cp 124 1	31.50533228	-109.0114071	3487320.172	688852.9691	5/11/15 12:01	1699.723877	129
B_unit	pine	cp 126 1	31.50526967	-109.0115418	3487312.998	688840.3008	5/11/15 12:02	1701.165771	130
B_unit	pine	cp 127 1	31.50527705	-109.0115236	3487313.847	688842.0136	5/11/15 12:04	1699.964111	131
B_unit	pine	Cp 128 1	31.50529155	-109.0117574	3487315.052	688819.7797	5/11/15 12:05	1699.00293	132
B_unit	pine	Cp 129 2	31.50542725	-109.0122971	3487329.166	688768.2423	5/11/15 12:10	1701.165771	133
B_unit	pine	Cp 13 1	31.51331755	-109.0000787	3488225.037	689912.8423	5/10/15 15:19	1673.528076	13
B_unit	pine	Cp 130 1	31.50555633	-109.0124268	3487343.254	688755.6663	5/11/15 12:12	1700.444824	134
B_unit	pine	Cp 131 2	31.50551492	-109.0125068	3487338.525	688748.1542	5/11/15 12:12	1701.165771	135
B_unit	pine	Cp 132 3	31.50571148	-109.0127114	3487359.964	688728.317	5/11/15 12:16	1702.367432	137
B_unit	pine	Cp 133 1	31.50564568	-109.0126593	3487352.759	688733.4014	5/11/15 12:15	1702.367432	136
B_unit	pine	Cp 134 1	31.50627692	-109.0131337	3487421.924	688687.0704	5/11/15 12:32	1705.251221	138
B_unit	pine	Cp 135 1	31.50629989	-109.0137571	3487423.397	688627.8148	5/11/15 13:09	1702.367432	140
B_unit	pine	Cp 136 3	31.50628639	-109.0139738	3487421.528	688607.2535	5/11/15 13:10	1701.886719	141
B_unit	pine	Cp 137 2	31.50629754	-109.0140335	3487422.661	688601.5626	5/11/15 13:10	1702.607666	142
B_unit	pine	Cp 138 1	31.50644699	-109.014084	3487439.143	688596.4695	5/11/15 13:12	1703.088379	143
B_unit	pine	Cp 139 1	31.50610752	-109.0142567	3487401.211	688580.7429	5/11/15 13:18	1703.569092	145
B_unit	pine	Cp 14 2	31.51312611	-109.0001796	3488203.638	689903.6527	5/10/15 15:20	1671.845703	14
B_unit	pine	Cp 14 3	31.51312083	-109.0002279	3488202.968	689899.07	5/10/15 15:21	1672.326416	15
B_unit	pine	Cp 140	31.50570226	-109.0145152	3487355.836	688557.0116	5/11/15 13:22	1704.290039	146
B_unit	pine	Cp 141 1	31.50573269	-109.0145498	3487359.15	688553.6624	5/11/15 13:23	1703.569092	147
B_unit	pine	Cp 142 2	31.50564015	-109.0145997	3487348.805	688549.1032	5/11/15 13:24	1703.569092	148
B_unit	pine	Cp 144 1	31.5055803	-109.0145746	3487342.214	688551.6118	5/11/15 13:25	1703.809326	149
B_unit	pine	Cp 145 1	31.50550537	-109.0146296	3487333.811	688546.5395	5/11/15 13:26	1702.848145	150
B_unit	pine	Cp 146 3	31.50539489	-109.0146997	3487321.443	688540.0976	5/11/15 13:27	1703.088379	151
B_unit	pine	Cp 147 1	31.50534192	-109.0146914	3487315.584	688540.9922	5/11/15 13:28	1703.569092	152
B_unit	pine	Cp 148 1	31.50498888	-109.0146763	3487276.47	688543.1343	5/11/15 13:31	1703.328613	153
B_unit	pine	Cp 15 1	31.51304564	-109.0002596	3488194.578	689896.2129	5/10/15 15:24	1672.807129	16
B_unit	pine	Cp 150 1	31.50487253	-109.0149168	3487263.159	688520.5261	5/11/15 13:32	1704.290039	154
B_unit	pine	Cp 151 1	31.50465821	-109.0151362	3487239.02	688500.113	5/11/15 13:34	1704.290039	155
B_unit	pine	Cp 152 1	31.504551	-109.0152057	3487227.015	688493.7281	5/11/15 13:35	1702.367432	156
B_unit	pine	Cp 153 1	31.50447548	-109.0153571	3487218.382	688479.501	5/11/15 13:36	1704.530273	157
B_unit	pine	Cp 154 3	31.50446383	-109.0153918	3487217.031	688476.2283	5/11/15 13:37	1705.010986	158
B_unit	pine	Cp 155 1	31.50429703	-109.0156368	3487198.118	688453.2913	5/11/15 13:39	1705.491699	159
B_unit	pine	Cp 156 4	31.50345239	-109.0172958	3487101.625	688297.4086	5/11/15 14:25	1714.143311	162
B_unit	pine	Cp 157 2	31.50355683	-109.0173141	3487113.172	688295.4556	5/11/15 14:29	1717.508057	163
B_unit	pine	Cp 158 1	31.50361064	-109.0173748	3487119.033	688289.5834	5/11/15 14:29	1717.027588	164
B_unit	pine	Cp 159 1	31.50345063	-109.0175012	3487101.077	688277.898	5/11/15 14:30	1715.825684	165
B_unit	pine	Cp 16 1	31.51295252	-109.0002629	3488184.248	689896.0908	5/10/15 15:25	1672.086182	17
B_unit	pine	Cp 160 1	31.50335625	-109.0175397	3487090.547	688274.4329	5/11/15 14:31	1714.864258	166
