unit,type,ident,,Latitude,Longitude,y_proj,x_proj,comment,altitude,original order
T_UNIT,pool,M26 3m2,,31.51546299,-108.9921615,3488476.642,690660.4395,18-MAY-15 2:16:58PM,1673.287842,668
J_UNIT,pool,M3 11.5m,,31.49169518,-108.9442888,3485925.908,695256.6236,5/17/15 12:36,1627.385254,508
T_UNIT,pool,M3 2m2,,31.48912176,-108.9449635,3485639.402,695197.8702,16-MAY-15 1:20:38PM,1628.827148,610
B_unit,pool,M3 3m,,31.47581449,-109.0325207,3484011.531,686906.2207,5/12/15 13:42,1791.04834,194
J_UNIT,pool,M3 3m1,,31.51959568,-109.0104799,3488903.075,688912.3282,5/18/15 13:16,1687.70752,509
E_unit,pool,M3 3m2,,31.48712017,-108.9826151,3485351.066,691624.9558,16-MAY-15 3:43:14PM,1695.397949,424
J_UNIT,pool,M3 4m,,31.49108472,-108.947962,3485851.692,694908.9339,5/16/15 10:52,1628.586914,510
J_UNIT,pool,M3 5.5m,,31.51913971,-109.0060828,3488860.115,689330.8483,5/18/15 13:30,1679.536133,511
J_UNIT,pool,M4 1.25m,,31.48891557,-108.9553953,3485598.014,694207.2446,5/16/15 13:11,1643.967773,512
J_UNIT,pool,M4 13.75m,,31.48949518,-108.9536381,3485665.387,694372.9833,5/16/15 12:38,1638.440186,513
J_UNIT,pool,M4 14m,,31.49270344,-108.9422067,3486041.401,695452.3311,5/17/15 12:26,1624.741699,514
J_UNIT,pool,M4 2.5m,,31.51966316,-109.0071523,3488916.299,689228.2181,5/18/15 13:25,1684.102539,515
E_unit,pool,M4 3m2,,31.49001603,-108.9772755,3485681.462,692126.3111,16-MAY-15 4:42:54PM,1682.6604,442
B_unit,pool,M4 7m,,31.4756559,-109.0327962,3483993.48,686880.3663,5/12/15 13:49,1794.412842,196
B_unit,pool,M4 m,,31.47680347,-109.0244853,3484134.895,687667.7252,5/13/15 17:27,1752.355713,246
T_UNIT,pool,M4m2,,31.47058401,-109.0123027,3483466.294,688837.7415,12-MAY-15 3:07:21PM,1697.080322,590
J_UNIT,pool,M5 1m,,31.48904021,-108.9561131,3485610.561,694138.7992,5/16/15 14:26,1645.649902,516
J_UNIT,pool,M5 2.5m,,31.50825446,-109.0086197,3487648.945,689111.8519,5/17/15 15:26,1685.304199,517
T_UNIT,pool,M5 2m2,,31.4919499,-108.9435374,3485955.487,695327.473,17-MAY-15 12:31:13PM,1627.14502,621
J_UNIT,pool,M5 4.5m,,31.50632177,-109.0134625,3487426.329,688655.7554,5/17/15 16:09,1698.041504,518
B_unit,pool,M5 4m,,31.47532716,-109.0336123,3483955.645,686803.4739,5/12/15 14:06,1801.863037,197
J_UNIT,pool,M5 4m1,,31.51926334,-109.005747,3488874.402,689362.4882,5/18/15 13:35,1680.737793,519
J_UNIT,pool,M6 1.75m,,31.50813351,-109.0094107,3487634.171,689036.9646,5/17/15 15:32,1685.784912,520
J_UNIT,pool,M6 2.5m,,31.50877506,-108.9913463,3487736.605,690751.4577,5/17/15 10:06,1671.845703,521
B_unit,pool,M6 2m,,31.47498552,-109.0337296,3483917.569,686793.0111,5/12/15 14:28,1808.592285,199
J_UNIT,pool,M6 3.25m,,31.51891314,-109.003876,3488838.814,689540.8874,5/18/15 13:42,1679.295898,522
J_UNIT,pool,M6 5m,,31.51816749,-109.0032733,3488757.19,689599.6295,5/18/15 13:49,1679.536133,523
J_UNIT,pool,M7 1.25m,,31.48968989,-108.9585807,3485678.221,693903.0257,5/16/15 14:42,1648.293457,524
B_unit,pool,M7 2m,,31.47444799,-109.0339431,3483857.613,686773.7947,5/12/15 15:13,1823.252441,206
T_UNIT,pool,M7 2m2,,31.50995079,-109.006194,3487841.197,689338.8228,17-MAY-15 3:05:19PM,1680.737793,626
J_UNIT,pool,M7 4.5m,,31.50919047,-108.9906074,3487783.946,690820.8001,5/17/15 10:02,1671.605469,525
J_UNIT,pool,M7 5.5m,,31.50817727,-109.0089789,3487639.767,689077.8852,5/17/15 15:29,1686.505859,526
J_UNIT,pool,M8 1.75m,,31.49019063,-108.9640561,3485724.063,693381.82,5/16/15 15:52,1658.387451,527
J_UNIT,pool,M8 13.5m,,31.48988519,-108.963027,3485692.016,693480.2103,5/16/15 15:45,1656.945557,528
B_unit,pool,M8 3m,,31.47336027,-109.035537,3483734.311,686624.5005,5/12/15 16:37,1833.82666,213
J_UNIT,pool,M8 4m,,31.50985063,-108.990119,3487857.985,690865.8481,5/17/15 9:54,1665.116699,529
J_UNIT,pool,M8 6m,,31.51517213,-108.9937597,3488441.617,690509.2426,5/18/15 14:17,1670.403809,530
J_UNIT,pool,M9 1.5m,,31.49053764,-108.9644143,3485761.902,693347.0721,5/16/15 16:05,1660.550537,531
B_unit,pool,M9 2m,,31.47674739,-109.022851,3484131.476,687823.1263,5/13/15 17:48,1740.098877,251
T_UNIT,pool,M9 2m2,,31.50988617,-109.0063867,3487833.7,689320.6504,17-MAY-15 3:07:04PM,1680.737793,628
B_unit,pool,M9 3m,,31.47326153,-109.0351483,3483724.027,686661.6346,5/12/15 16:44,1831.183105,216
J_UNIT,pool,M9 4m,,31.51604955,-108.9904252,3488544.695,690824.1535,5/18/15 14:27,1668.721436,532
J_UNIT,pool,M9 6.5m,,31.49026355,-108.9641604,3485731.963,693371.756,5/16/15 15:54,1657.42627,533
J_UNIT,pool,Overhangpool,,31.49097735,-108.9485238,3485838.789,694855.7892,16-MAY-15 11 Poorly checked L,1626.904541,534
